run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag,instructions,cycles,setup_ns,first_ns,digest
1,1,0,warm,bitpack-plan-native,0,11069.2,10946.7,0.8,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-plan-native,1,11066.7,10944.6,2.1,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-plan-native,2,11098.8,10980.0,2.1,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-plan-native,3,11063.3,10945.0,2.5,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-plan-native,4,11098.8,10970.4,1.7,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-plan-native,5,11066.7,10946.2,3.3,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-plan-native,6,11071.2,10942.9,1.2,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-plan-native,7,11157.9,11033.8,1.7,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-plan-native,8,10740.0,10608.3,1.7,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-plan-native,9,10193.8,10080.8,2.1,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-plan-naive,0,69197.5,68901.7,18.8,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-plan-naive,1,77604.6,77052.5,34.2,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-plan-naive,2,56614.2,56369.6,19.2,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-plan-naive,3,52389.6,52192.5,14.2,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-plan-naive,4,63136.2,62875.8,18.8,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-plan-naive,5,61444.2,61215.4,11.2,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-plan-naive,6,56091.7,55895.8,11.7,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-plan-naive,7,52730.0,52508.8,3.7,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-plan-naive,8,52478.3,52289.6,7.1,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-plan-naive,9,51820.8,51548.8,3.3,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-plan-windowed,0,18003.3,17820.4,10.4,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-plan-windowed,1,16587.1,16462.1,2.1,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-plan-windowed,2,17143.8,16977.9,10.0,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-plan-windowed,3,16766.2,16637.9,2.5,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-plan-windowed,4,16684.2,16558.8,1.2,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-plan-windowed,5,16579.2,16452.5,2.1,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-plan-windowed,6,16561.7,16440.0,2.9,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-plan-windowed,7,17546.2,17380.8,7.1,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-plan-windowed,8,15977.9,15860.4,3.3,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-plan-windowed,9,15927.5,15771.2,8.8,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-plan-simd,0,23971.2,23777.9,7.9,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-plan-simd,1,21065.8,20887.1,235.0,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-plan-simd,2,20943.3,20747.9,2.1,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-plan-simd,3,21032.9,20891.7,5.4,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-plan-simd,4,20417.1,20285.4,4.6,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-plan-simd,5,19063.7,18941.7,2.9,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-plan-simd,6,19119.2,18994.2,2.9,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-plan-simd,7,20035.8,19909.2,3.3,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-plan-simd,8,20780.8,20650.8,2.9,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-plan-simd,9,20865.8,20735.0,2.5,100,,,0,0,0.0,0.0,0
1,1,0,cold,bitpack-plan-native,0,388211.7,10517.5,2.1,100,,,0,0,0.0,0.0,0
1,1,0,cold,bitpack-plan-native,1,401999.6,10944.2,7.5,100,,,0,0,0.0,0.0,0
1,1,0,cold,bitpack-plan-native,2,392553.3,10652.1,7.5,100,,,0,0,0.0,0.0,0
1,1,0,cold,bitpack-plan-native,3,397081.7,10841.7,2.1,100,,,0,0,0.0,0.0,0
1,1,0,cold,bitpack-plan-native,4,405915.0,11188.3,7.9,100,,,0,0,0.0,0.0,0
1,1,0,cold,bitpack-plan-native,5,402433.3,10951.7,5.4,100,,,0,0,0.0,0.0,0
1,1,0,cold,bitpack-plan-native,6,411804.6,11081.7,9.6,100,,,0,0,0.0,0.0,0
1,1,0,cold,bitpack-plan-native,7,411393.8,11109.2,11.2,100,,,0,0,0.0,0.0,0
1,1,0,cold,bitpack-plan-native,8,402825.0,11157.5,8.3,100,,,0,0,0.0,0.0,0
1,1,0,cold,bitpack-plan-native,9,396936.2,10783.8,2.1,100,,,0,0,0.0,0.0,0
1,1,0,cold,bitpack-plan-naive,0,420475.8,49299.6,2.5,100,,,0,0,0.0,0.0,0
1,1,0,cold,bitpack-plan-naive,1,435883.3,51362.5,1.7,100,,,0,0,0.0,0.0,0
1,1,0,cold,bitpack-plan-naive,2,457354.2,50638.7,20.4,100,,,0,0,0.0,0.0,0
1,1,0,cold,bitpack-plan-naive,3,446646.2,52947.5,15.4,100,,,0,0,0.0,0.0,0
1,1,0,cold,bitpack-plan-naive,4,448343.3,52292.1,11.7,100,,,0,0,0.0,0.0,0
1,1,0,cold,bitpack-plan-naive,5,434322.1,50698.3,6.7,100,,,0,0,0.0,0.0,0
1,1,0,cold,bitpack-plan-naive,6,443229.2,52622.9,7.5,100,,,0,0,0.0,0.0,0
1,1,0,cold,bitpack-plan-naive,7,430797.9,51116.7,6.7,100,,,0,0,0.0,0.0,0
