run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag,instructions,cycles,setup_ns,first_ns,digest
1,1,0,warm,bitpack-mac-narrow,0,26579.2,26466.7,2.9,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-mac-narrow,1,26570.8,26467.9,3.3,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-mac-narrow,2,26412.1,26311.7,2.9,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-mac-narrow,3,26830.8,26730.8,3.3,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-mac-narrow,4,27317.1,27189.2,4.2,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-mac-narrow,5,26458.7,26356.2,3.7,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-mac-narrow,6,26565.4,26456.2,3.3,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-mac-narrow,7,26417.9,26312.1,3.3,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-mac-narrow,8,27267.9,27148.8,5.0,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-mac-narrow,9,26601.2,26489.6,2.9,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-mac-simd,0,16751.7,16662.5,4.2,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-mac-simd,1,16955.4,16865.4,2.9,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-mac-simd,2,16929.6,16835.8,2.9,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-mac-simd,3,16737.1,16649.6,2.9,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-mac-simd,4,16745.4,16651.2,4.2,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-mac-simd,5,16734.6,16631.2,4.2,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-mac-simd,6,16774.6,16671.2,3.7,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-mac-simd,7,16752.9,16654.6,2.9,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-mac-simd,8,16781.7,16681.7,0.8,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-mac-simd,9,16765.8,16667.9,2.5,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-mac-windowed,0,26622.5,26515.4,1.7,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-mac-windowed,1,26678.7,26580.4,5.0,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-mac-windowed,2,26609.6,26514.2,2.9,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-mac-windowed,3,26593.3,26497.5,2.1,100,,,0,0,0.0,0.0,0
