run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag,instructions,cycles,setup_ns,first_ns,digest
1,1,0,warm,bitpack-write-aligned,0,4579874.6,4578364.6,48.3,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-write-aligned,1,4533964.6,4532487.5,114.6,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-write-aligned,2,4463560.4,4462327.1,31.2,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-write-aligned,3,4459908.3,4458765.8,78.7,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-write-aligned,4,4463105.8,4461682.5,41.2,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-write-aligned,5,4469978.3,4468578.8,39.2,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-write-aligned,6,4463694.6,4462384.2,51.7,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-write-aligned,7,4469996.2,4468691.7,39.6,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-write-aligned,8,4517810.4,4516207.9,70.0,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-write-aligned,9,4519529.6,4518160.0,64.2,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-write-dense,0,238070.0,237724.2,15.8,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-write-dense,1,231347.9,231110.0,0.4,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-write-dense,2,236567.1,236171.2,7.9,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-write-dense,3,237588.8,237043.8,3.3,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-write-dense,4,231592.1,230878.3,2.1,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-write-dense,5,231758.3,231251.2,2.1,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-write-dense,6,234720.4,234440.8,12.1,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-write-dense,7,236495.4,236101.7,6.7,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-write-dense,8,232887.9,232572.9,1.7,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-write-dense,9,238938.3,238525.8,1.7,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-write-windowed,0,3140454.6,3139278.8,44.2,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-write-windowed,1,3257040.8,3255320.0,143.3,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-write-windowed,2,3180228.8,3179048.3,46.7,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-write-windowed,3,3150122.5,3148938.8,41.7,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-write-windowed,4,3156320.4,3155200.0,42.1,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-write-windowed,5,3149563.8,3148314.6,35.0,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-write-windowed,6,3136932.5,3135934.2,38.8,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-write-windowed,7,3138880.0,3137618.8,27.1,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-write-windowed,8,3166366.7,3165390.8,50.0,100,,,0,0,0.0,0.0,0
1,1,0,warm,bitpack-write-windowed,9,4310333.3,4307843.8,207.5,100,,,0,0,0.0,0.0,0
1,1,0,cold,bitpack-write-aligned,0,6251670.8,4495805.4,65.8,100,,,0,0,0.0,0.0,0
1,1,0,cold,bitpack-write-aligned,1,6320742.1,4556283.8,152.1,100,,,0,0,0.0,0.0,0
1,1,0,cold,bitpack-write-aligned,2,6201693.7,4472457.5,61.7,100,,,0,0,0.0,0.0,0
1,1,0,cold,bitpack-write-aligned,3,6252822.1,4501257.9,74.6,100,,,0,0,0.0,0.0,0
1,1,0,cold,bitpack-write-aligned,4,6223383.7,4488693.7,55.0,100,,,0,0,0.0,0.0,0
1,1,0,cold,bitpack-write-aligned,5,6170115.4,4459527.5,47.9,100,,,0,0,0.0,0.0,0
1,1,0,cold,bitpack-write-aligned,6,6768592.5,4984474.2,78.7,100,,,0,0,0.0,0.0,0
1,1,0,cold,bitpack-write-aligned,7,6559942.1,4753570.4,103.8,100,,,0,0,0.0,0.0,0
1,1,0,cold,bitpack-write-aligned,8,6804256.2,4930904.2,170.0,100,,,0,0,0.0,0.0,0
1,1,0,cold,bitpack-write-aligned,9,6656072.9,4865356.2,136.2,100,,,0,0,0.0,0.0,0
1,1,0,cold,bitpack-write-dense,0,2091893.3,308127.9,74.6,100,,,0,0,0.0,0.0,0
1,1,0,cold,bitpack-write-dense,1,2027327.1,293798.3,45.0,100,,,0,0,0.0,0.0,0
1,1,0,cold,bitpack-write-dense,2,2088697.9,309907.5,79.2,100,,,0,0,0.0,0.0,0
1,1,0,cold,bitpack-write-dense,3,1964083.8,281978.3,1.7,100,,,0,0,0.0,0.0,0
1,1,0,cold,bitpack-write-dense,4,1968702.5,286181.2,7.5,100,,,0,0,0.0,0.0,0
1,1,0,cold,bitpack-write-dense,5,1999059.6,296677.1,54.2,100,,,0,0,0.0,0.0,0
1,1,0,cold,bitpack-write-dense,6,1983358.8,286838.3,27.1,100,,,0,0,0.0,0.0,0
1,1,0,cold,bitpack-write-dense,7,2116891.7,318258.8,71.2,100,,,0,0,0.0,0.0,0
1,1,0,cold,bitpack-write-dense,8,2136732.9,311679.6,95.0,100,,,0,0,0.0,0.0,0
1,1,0,cold,bitpack-write-dense,9,2045931.2,304366.2,25.0,100,,,0,0,0.0,0.0,0
1,1,0,cold,bitpack-write-windowed,0,4931642.9,3175117.1,54.2,100,,,0,0,0.0,0.0,0
1,1,0,cold,bitpack-write-windowed,1,4977795.0,3202984.2,128.8,100,,,0,0,0.0,0.0,0
1,1,0,cold,bitpack-write-windowed,2,4908511.7,3169863.7,65.0,100,,,0,0,0.0,0.0,0
1,1,0,cold,bitpack-write-windowed,3,4853782.9,3142867.1,63.3,100,,,0,0,0.0,0.0,0
1,1,0,cold,bitpack-write-windowed,4,4914197.9,3167827.5,56.7,100,,,0,0,0.0,0.0,0
1,1,0,cold,bitpack-write-windowed,5,4927237.9,3175624.2,97.1,100,,,0,0,0.0,0.0,0
1,1,0,cold,bitpack-write-windowed,6,4864762.1,3134978.3,62.5,100,,,0,0,0.0,0.0,0
1,1,0,cold,bitpack-write-windowed,7,5290590.4,3520445.0,72.5,100,,,0,0,0.0,0.0,0
