run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag,instructions,cycles,setup_ns,first_ns,digest
1,1,0,warm,quantiser-radix2,0,4659.2,4572.1,4.2,100,,,0,0,0.0,0.0,0
1,1,0,warm,quantiser-radix2,1,4382.9,4310.4,2.5,100,,,0,0,0.0,0.0,0
1,1,0,warm,quantiser-radix2,2,4379.6,4313.8,2.5,100,,,0,0,0.0,0.0,0
1,1,0,warm,quantiser-radix2,3,4378.8,4313.8,4.2,100,,,0,0,0.0,0.0,0
1,1,0,warm,quantiser-radix2,4,4418.3,4352.9,1.7,100,,,0,0,0.0,0.0,0
1,1,0,warm,quantiser-radix2,5,4755.4,4681.7,2.9,100,,,0,0,0.0,0.0,0
1,1,0,warm,quantiser-radix2,6,4758.3,4690.0,2.1,100,,,0,0,0.0,0.0,0
1,1,0,warm,quantiser-radix2,7,4760.4,4683.8,0.4,100,,,0,0,0.0,0.0,0
1,1,0,warm,quantiser-radix2,8,4759.6,4685.0,2.9,100,,,0,0,0.0,0.0,0
1,1,0,warm,quantiser-radix2,9,4756.2,4683.8,1.2,100,,,0,0,0.0,0.0,0
1,1,0,warm,quantiser-radix10,0,8773.3,8691.2,2.1,100,,,0,0,0.0,0.0,0
1,1,0,warm,quantiser-radix10,1,8766.7,8692.9,2.9,100,,,0,0,0.0,0.0,0
1,1,0,warm,quantiser-radix10,2,9520.4,9343.8,7.1,100,,,0,0,0.0,0.0,0
1,1,0,warm,quantiser-radix10,3,8958.3,8886.2,5.8,100,,,0,0,0.0,0.0,0
1,1,0,warm,quantiser-radix10,4,9079.2,9001.7,3.7,100,,,0,0,0.0,0.0,0
1,1,0,warm,quantiser-radix10,5,8245.0,8175.8,2.5,100,,,0,0,0.0,0.0,0
1,1,0,warm,quantiser-radix10,6,8285.0,8215.8,1.7,100,,,0,0,0.0,0.0,0
1,1,0,warm,quantiser-radix10,7,8332.9,8263.8,1.7,100,,,0,0,0.0,0.0,0
1,1,0,warm,quantiser-radix10,8,8268.3,8198.3,1.7,100,,,0,0,0.0,0.0,0
1,1,0,warm,quantiser-radix10,9,8827.9,8715.8,7.5,100,,,0,0,0.0,0.0,0
1,1,0,cold,quantiser-radix2,0,10422.9,8772.1,2.9,100,,,0,0,0.0,0.0,0
1,1,0,cold,quantiser-radix2,1,10355.0,8745.4,2.5,100,,,0,0,0.0,0.0,0
1,1,0,cold,quantiser-radix2,2,10343.8,8742.9,2.5,100,,,0,0,0.0,0.0,0
1,1,0,cold,quantiser-radix2,3,10362.1,8756.2,3.3,100,,,0,0,0.0,0.0,0
1,1,0,cold,quantiser-radix2,4,10470.4,8819.6,2.9,100,,,0,0,0.0,0.0,0
1,1,0,cold,quantiser-radix2,5,10538.3,8929.2,2.5,100,,,0,0,0.0,0.0,0
1,1,0,cold,quantiser-radix2,6,10382.1,8779.6,3.7,100,,,0,0,0.0,0.0,0
1,1,0,cold,quantiser-radix2,7,10397.9,8797.5,4.6,100,,,0,0,0.0,0.0,0
1,1,0,cold,quantiser-radix2,8,9750.0,8246.7,2.1,100,,,0,0,0.0,0.0,0
1,1,0,cold,quantiser-radix2,9,9548.7,8070.8,3.3,100,,,0,0,0.0,0.0,0
1,1,0,cold,quantiser-radix10,0,12735.0,11205.0,2.1,100,,,0,0,0.0,0.0,0
1,1,0,cold,quantiser-radix10,1,12434.6,10953.7,2.1,100,,,0,0,0.0,0.0,0
1,1,0,cold,quantiser-radix10,2,12435.0,10961.7,2.9,100,,,0,0,0.0,0.0,0
1,1,0,cold,quantiser-radix10,3,12537.9,10998.3,1.7,100,,,0,0,0.0,0.0,0
1,1,0,cold,quantiser-radix10,4,12577.1,11090.4,1.2,100,,,0,0,0.0,0.0,0
1,1,0,cold,quantiser-radix10,5,12483.3,11002.9,2.5,100,,,0,0,0.0,0.0,0
1,1,0,cold,quantiser-radix10,6,12428.8,10947.9,2.1,100,,,0,0,0.0,0.0,0
1,1,0,cold,quantiser-radix10,7,12502.5,11018.3,3.7,100,,,0,0,0.0,0.0,0
1,1,0,cold,quantiser-radix10,8,13483.8,11903.3,2.9,100,,,0,0,0.0,0.0,0
1,1,0,cold,quantiser-radix10,9,13515.4,11906.2,1.7,100,,,0,0,0.0,0.0,0
1,2,0,warm,quantiser-radix2,0,4419.2,4349.6,2.9,100,,,0,0,0.0,0.0,0
1,2,0,warm,quantiser-radix2,1,6490.8,6399.2,3.7,100,,,0,0,0.0,0.0,0
1,2,0,warm,quantiser-radix2,2,4527.9,4453.3,3.3,100,,,0,0,0.0,0.0,0
1,2,0,warm,quantiser-radix2,3,4445.0,4367.9,1.2,100,,,0,0,0.0,0.0,0
1,2,0,warm,quantiser-radix2,4,4416.7,4352.5,2.5,100,,,0,0,0.0,0.0,0
1,2,0,warm,quantiser-radix2,5,4410.0,4342.5,2.1,100,,,0,0,0.0,0.0,0
1,2,0,warm,quantiser-radix2,6,4419.2,4349.6,0.0,100,,,0,0,0.0,0.0,0
1,2,0,warm,quantiser-radix2,7,4410.8,4337.9,4.2,100,,,0,0,0.0,0.0,0
1,2,0,warm,quantiser-radix2,8,4433.3,4360.8,1.2,100,,,0,0,0.0,0.0,0
1,2,0,warm,quantiser-radix2,9,4430.4,4362.9,2.1,100,,,0,0,0.0,0.0,0
1,2,0,warm,quantiser-radix10,0,9111.7,8948.3,5.0,100,,,0,0,0.0,0.0,0
1,2,0,warm,quantiser-radix10,1,8866.7,8772.1,2.1,100,,,0,0,0.0,0.0,0
1,2,0,warm,quantiser-radix10,2,8276.7,8206.2,0.0,100,,,0,0,0.0,0.0,0
1,2,0,warm,quantiser-radix10,3,8365.8,8295.4,1.7,100,,,0,0,0.0,0.0,0
1,2,0,warm,quantiser-radix10,4,8447.5,8369.2,2.9,100,,,0,0,0.0,0.0,0
1,2,0,warm,quantiser-radix10,5,8346.7,8280.0,2.1,100,,,0,0,0.0,0.0,0
1,2,0,warm,quantiser-radix10,6,8459.6,8386.7,2.9,100,,,0,0,0.0,0.0,0
1,2,0,warm,quantiser-radix10,7,8655.4,8535.0,1.7,100,,,0,0,0.0,0.0,0
1,2,0,warm,quantiser-radix10,8,8520.8,8457.1,1.2,100,,,0,0,0.0,0.0,0
1,2,0,warm,quantiser-radix10,9,8594.6,8523.3,0.4,100,,,0,0,0.0,0.0,0
1,2,0,cold,quantiser-radix2,0,9915.8,8359.6,1.2,100,,,0,0,0.0,0.0,0
