run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag,instructions,cycles,setup_ns,first_ns,digest
1,1,0,warm,quantiser-software,0,4070.8,3995.0,1.7,100,,,0,0,0.0,0.0,0
1,1,0,warm,quantiser-software,1,4070.0,3998.3,2.9,100,,,0,0,0.0,0.0,0
1,1,0,warm,quantiser-software,2,4066.7,3996.2,4.6,100,,,0,0,0.0,0.0,0
1,1,0,warm,quantiser-software,3,4069.6,3996.2,3.3,100,,,0,0,0.0,0.0,0
1,1,0,warm,quantiser-software,4,4067.5,3995.0,2.5,100,,,0,0,0.0,0.0,0
1,1,0,warm,quantiser-software,5,4065.8,3995.0,3.7,100,,,0,0,0.0,0.0,0
1,1,0,warm,quantiser-software,6,4066.2,3989.6,2.9,100,,,0,0,0.0,0.0,0
1,1,0,warm,quantiser-software,7,4072.1,3995.8,2.1,100,,,0,0,0.0,0.0,0
1,1,0,warm,quantiser-software,8,4071.2,3994.6,2.5,100,,,0,0,0.0,0.0,0
1,1,0,warm,quantiser-software,9,4342.5,4262.9,4.2,100,,,0,0,0.0,0.0,0
1,1,0,warm,quantiser-hardware,0,373.3,299.6,1.7,100,,,0,0,0.0,0.0,0
1,1,0,warm,quantiser-hardware,1,369.6,299.2,4.2,100,,,0,0,0.0,0.0,0
1,1,0,warm,quantiser-hardware,2,369.2,301.2,2.5,100,,,0,0,0.0,0.0,0
1,1,0,warm,quantiser-hardware,3,369.2,298.8,1.2,100,,,0,0,0.0,0.0,0
1,1,0,warm,quantiser-hardware,4,371.7,300.0,3.7,100,,,0,0,0.0,0.0,0
1,1,0,warm,quantiser-hardware,5,371.2,299.2,2.1,100,,,0,0,0.0,0.0,0
1,1,0,warm,quantiser-hardware,6,372.9,298.8,2.9,100,,,0,0,0.0,0.0,0
1,1,0,warm,quantiser-hardware,7,372.9,300.4,2.9,100,,,0,0,0.0,0.0,0
1,1,0,warm,quantiser-hardware,8,373.8,301.2,2.5,100,,,0,0,0.0,0.0,0
1,1,0,warm,quantiser-hardware,9,370.0,300.8,2.9,100,,,0,0,0.0,0.0,0
1,1,0,cold,quantiser-software,0,5577.9,4282.1,1.2,100,,,0,0,0.0,0.0,0
1,1,0,cold,quantiser-software,1,5564.2,4279.6,5.4,100,,,0,0,0.0,0.0,0
1,1,0,cold,quantiser-software,2,5553.7,4280.8,2.1,100,,,0,0,0.0,0.0,0
1,1,0,cold,quantiser-software,3,5566.2,4292.1,1.2,100,,,0,0,0.0,0.0,0
1,1,0,cold,quantiser-software,4,5765.8,4437.5,2.9,100,,,0,0,0.0,0.0,0
1,1,0,cold,quantiser-software,5,6049.6,4663.8,2.5,100,,,0,0,0.0,0.0,0
1,1,0,cold,quantiser-software,6,6034.6,4647.5,2.1,100,,,0,0,0.0,0.0,0
1,1,0,cold,quantiser-software,7,6024.6,4637.9,0.8,100,,,0,0,0.0,0.0,0
1,1,0,cold,quantiser-software,8,6040.8,4641.7,3.3,100,,,0,0,0.0,0.0,0
1,1,0,cold,quantiser-software,9,6026.2,4638.8,2.9,100,,,0,0,0.0,0.0,0
1,1,0,cold,quantiser-hardware,0,1588.3,302.1,5.4,100,,,0,0,0.0,0.0,0
1,1,0,cold,quantiser-hardware,1,1567.9,298.8,4.2,100,,,0,0,0.0,0.0,0
1,1,0,cold,quantiser-hardware,2,1564.2,300.4,2.9,100,,,0,0,0.0,0.0,0
1,1,0,cold,quantiser-hardware,3,1569.6,300.4,2.1,100,,,0,0,0.0,0.0,0
1,1,0,cold,quantiser-hardware,4,1571.2,302.9,1.2,100,,,0,0,0.0,0.0,0
1,1,0,cold,quantiser-hardware,5,1573.8,302.1,2.5,100,,,0,0,0.0,0.0,0
1,1,0,cold,quantiser-hardware,6,1568.7,299.6,2.9,100,,,0,0,0.0,0.0,0
1,1,0,cold,quantiser-hardware,7,1567.9,301.2,1.7,100,,,0,0,0.0,0.0,0
1,1,0,cold,quantiser-hardware,8,1569.2,296.2,3.3,100,,,0,0,0.0,0.0,0
1,1,0,cold,quantiser-hardware,9,1570.0,299.2,2.5,100,,,0,0,0.0,0.0,0
1,2,0,warm,quantiser-software,0,4480.0,4391.2,1.7,100,,,0,0,0.0,0.0,0
1,2,0,warm,quantiser-software,1,4209.2,4123.8,2.9,100,,,0,0,0.0,0.0,0
1,2,0,warm,quantiser-software,2,4131.2,4057.5,0.8,100,,,0,0,0.0,0.0,0
1,2,0,warm,quantiser-software,3,4135.4,4066.7,2.9,100,,,0,0,0.0,0.0,0
1,2,0,warm,quantiser-software,4,4147.9,4073.3,3.3,100,,,0,0,0.0,0.0,0
1,2,0,warm,quantiser-software,5,4150.0,4077.1,1.7,100,,,0,0,0.0,0.0,0
1,2,0,warm,quantiser-software,6,4150.4,4075.4,2.1,100,,,0,0,0.0,0.0,0
1,2,0,warm,quantiser-software,7,4147.5,4077.1,2.5,100,,,0,0,0.0,0.0,0
1,2,0,warm,quantiser-software,8,4170.4,4071.7,1.7,100,,,0,0,0.0,0.0,0
1,2,0,warm,quantiser-software,9,4158.8,4074.6,1.7,100,,,0,0,0.0,0.0,0
1,2,0,warm,quantiser-hardware,0,373.3,301.2,2.5,100,,,0,0,0.0,0.0,0
1,2,0,warm,quantiser-hardware,1,372.1,301.7,4.2,100,,,0,0,0.0,0.0,0
1,2,0,warm,quantiser-hardware,2,371.7,298.8,1.7,100,,,0,0,0.0,0.0,0
1,2,0,warm,quantiser-hardware,3,368.3,300.0,3.3,100,,,0,0,0.0,0.0,0
1,2,0,warm,quantiser-hardware,4,370.8,301.2,2.9,100,,,0,0,0.0,0.0,0
1,2,0,warm,quantiser-hardware,5,372.9,300.4,2.5,100,,,0,0,0.0,0.0,0
1,2,0,warm,quantiser-hardware,6,371.7,299.6,3.3,100,,,0,0,0.0,0.0,0
1,2,0,warm,quantiser-hardware,7,373.8,302.1,2.5,100,,,0,0,0.0,0.0,0
1,2,0,warm,quantiser-hardware,8,376.2,302.1,1.2,100,,,0,0,0.0,0.0,0
1,2,0,warm,quantiser-hardware,9,373.8,300.8,0.8,100,,,0,0,0.0,0.0,0
