run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag,instructions,cycles,setup_ns,first_ns,digest
1,1,0,warm,satfold-gate-false,0,28394.2,28295.0,0.4,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-gate-false,1,28339.6,28234.2,0.8,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-gate-false,2,28259.6,28190.8,0.8,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-gate-false,3,28292.5,28223.3,0.8,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-gate-false,4,28333.3,28265.8,2.1,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-gate-false,5,28286.2,28222.5,1.7,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-gate-false,6,28260.4,28194.6,0.0,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-gate-false,7,28264.2,28193.3,0.8,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-gate-false,8,28650.4,28582.5,0.4,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-gate-false,9,28335.0,28269.2,2.9,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-seq,0,28370.4,28299.6,2.1,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-seq,1,28427.1,28353.3,2.9,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-seq,2,28332.1,28267.5,1.2,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-seq,3,28870.0,28772.1,4.2,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-seq,4,28366.7,28303.7,2.9,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-seq,5,28348.8,28282.5,1.7,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-seq,6,28244.2,28176.2,2.5,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-seq,7,28350.4,28258.3,1.7,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-seq,8,28344.6,28272.1,2.1,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-seq,9,28820.4,28753.3,2.9,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-gate-true,0,4072.9,4009.2,0.8,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-gate-true,1,4070.0,4010.8,2.1,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-gate-true,2,4059.2,4000.8,0.8,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-gate-true,3,4064.2,4004.2,1.7,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-gate-true,4,4071.2,4010.8,0.4,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-gate-true,5,4072.5,4012.5,1.2,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-gate-true,6,4154.2,4090.4,1.7,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-gate-true,7,4075.8,4013.3,1.2,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-gate-true,8,4067.5,4004.2,0.4,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-gate-true,9,4072.1,4010.8,1.2,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-lanes16-3,0,4066.2,4004.2,0.4,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-lanes16-3,1,4069.2,4009.2,0.4,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-lanes16-3,2,4209.6,4148.3,1.2,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-lanes16-3,3,4069.6,4009.6,0.0,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-lanes16-3,4,4065.8,4004.2,2.1,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-lanes16-3,5,4065.0,4005.4,2.5,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-lanes16-3,6,4072.1,4010.8,0.8,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-lanes16-3,7,4071.7,4012.9,1.7,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-lanes16-3,8,4068.3,4002.9,0.4,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-lanes16-3,9,4070.4,4010.8,0.0,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-lanes16,0,4096.7,4029.2,2.1,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-lanes16,1,4077.5,4011.7,2.1,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-lanes16,2,4089.2,4023.7,2.9,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-lanes16,3,4064.6,4006.2,2.1,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-lanes16,4,4070.4,4011.7,3.7,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-lanes16,5,4067.1,4007.5,2.5,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-lanes16,6,4083.8,4015.0,2.5,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-lanes16,7,4076.2,4016.2,0.8,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-lanes16,8,4067.9,4003.8,1.2,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-lanes16,9,4068.3,4008.3,2.5,100,,,0,0,0.0,0.0,0
1,1,0,cold,satfold-gate-false,0,418097.1,28455.8,4.6,100,,,0,0,0.0,0.0,0
1,1,0,cold,satfold-gate-false,1,365218.3,28223.8,1.2,100,,,0,0,0.0,0.0,0
1,1,0,cold,satfold-gate-false,2,372254.2,28558.7,1.7,100,,,0,0,0.0,0.0,0
1,1,0,cold,satfold-gate-false,3,389533.3,28175.8,5.8,100,,,0,0,0.0,0.0,0
1,1,0,cold,satfold-gate-false,4,393649.2,28789.2,8.3,100,,,0,0,0.0,0.0,0
1,1,0,cold,satfold-gate-false,5,407332.1,31873.3,24.2,100,,,0,0,0.0,0.0,0
1,1,0,cold,satfold-gate-false,6,398107.9,28785.8,19.6,100,,,0,0,0.0,0.0,0
1,1,0,cold,satfold-gate-false,7,380870.4,28475.4,5.4,100,,,0,0,0.0,0.0,0
1,1,0,cold,satfold-gate-false,8,435763.3,29712.5,12.9,100,,,0,0,0.0,0.0,0
1,1,0,cold,satfold-gate-false,9,409805.4,29228.8,7.1,100,,,0,0,0.0,0.0,0
1,1,0,cold,satfold-seq,0,426312.1,29799.6,22.9,100,,,0,0,0.0,0.0,0
1,1,0,cold,satfold-seq,1,416495.4,28737.1,10.4,100,,,0,0,0.0,0.0,0
1,1,0,cold,satfold-seq,2,381618.3,28564.2,5.8,100,,,0,0,0.0,0.0,0
1,1,0,cold,satfold-seq,3,421535.0,29447.5,32.9,100,,,0,0,0.0,0.0,0
1,1,0,cold,satfold-seq,4,423540.4,29693.7,30.8,100,,,0,0,0.0,0.0,0
1,1,0,cold,satfold-seq,5,423082.9,29433.3,20.4,100,,,0,0,0.0,0.0,0
1,1,0,cold,satfold-seq,6,395822.9,29140.8,22.9,100,,,0,0,0.0,0.0,0
1,1,0,cold,satfold-seq,7,412566.7,29179.2,12.1,100,,,0,0,0.0,0.0,0
1,1,0,cold,satfold-seq,8,429248.7,28688.7,11.7,100,,,0,0,0.0,0.0,0
1,1,0,cold,satfold-seq,9,398149.2,28597.1,6.7,100,,,0,0,0.0,0.0,0
1,1,0,cold,satfold-gate-true,0,436590.0,4428.8,10.8,100,,,0,0,0.0,0.0,0
1,1,0,cold,satfold-gate-true,1,452694.6,4450.8,10.4,100,,,0,0,0.0,0.0,0
1,1,0,cold,satfold-gate-true,2,414777.5,4317.5,8.8,100,,,0,0,0.0,0.0,0
1,1,0,cold,satfold-gate-true,3,420947.9,4303.8,13.8,100,,,0,0,0.0,0.0,0
1,1,0,cold,satfold-gate-true,4,427791.2,4382.9,9.6,100,,,0,0,0.0,0.0,0
1,1,0,cold,satfold-gate-true,5,438894.6,4472.9,10.4,100,,,0,0,0.0,0.0,0
1,1,0,cold,satfold-gate-true,6,464725.0,4514.2,21.7,100,,,0,0,0.0,0.0,0
1,1,0,cold,satfold-gate-true,7,444634.6,4452.5,23.7,100,,,0,0,0.0,0.0,0
1,1,0,cold,satfold-gate-true,8,473850.8,4647.5,32.1,100,,,0,0,0.0,0.0,0
1,1,0,cold,satfold-gate-true,9,402773.3,4305.4,11.2,100,,,0,0,0.0,0.0,0
1,1,0,cold,satfold-lanes16-3,0,396428.3,4248.3,5.8,100,,,0,0,0.0,0.0,0
1,1,0,cold,satfold-lanes16-3,1,382773.7,4135.4,12.5,100,,,0,0,0.0,0.0,0
1,1,0,cold,satfold-lanes16-3,2,392292.5,4735.4,5.4,100,,,0,0,0.0,0.0,0
1,1,0,cold,satfold-lanes16-3,3,407662.1,4324.2,19.6,100,,,0,0,0.0,0.0,0
1,1,0,cold,satfold-lanes16-3,4,395279.2,4184.6,8.8,100,,,0,0,0.0,0.0,0
1,1,0,cold,satfold-lanes16-3,5,380902.1,4120.8,4.6,100,,,0,0,0.0,0.0,0
1,1,0,cold,satfold-lanes16-3,6,352656.7,4129.2,1.2,100,,,0,0,0.0,0.0,0
1,1,0,cold,satfold-lanes16-3,7,374022.1,4133.3,1.2,100,,,0,0,0.0,0.0,0
1,1,0,cold,satfold-lanes16-3,8,370353.7,4028.3,3.3,100,,,0,0,0.0,0.0,0
1,1,0,cold,satfold-lanes16-3,9,361170.8,4054.6,1.7,100,,,0,0,0.0,0.0,0
1,1,0,cold,satfold-lanes16,0,365887.1,4123.3,8.8,100,,,0,0,0.0,0.0,0
1,1,0,cold,satfold-lanes16,1,391664.6,4484.2,24.6,100,,,0,0,0.0,0.0,0
1,1,0,cold,satfold-lanes16,2,371525.0,4207.9,12.9,100,,,0,0,0.0,0.0,0
1,1,0,cold,satfold-lanes16,3,379999.6,4123.3,12.5,100,,,0,0,0.0,0.0,0
1,1,0,cold,satfold-lanes16,4,391752.9,4351.2,18.8,100,,,0,0,0.0,0.0,0
1,1,0,cold,satfold-lanes16,5,460272.1,11142.1,20.4,100,,,0,0,0.0,0.0,0
1,1,0,cold,satfold-lanes16,6,679653.8,4602.5,57.5,100,,,0,0,0.0,0.0,0
1,1,0,cold,satfold-lanes16,7,728767.9,5708.3,101.2,100,,,0,0,0.0,0.0,0
1,1,0,cold,satfold-lanes16,8,425740.0,4437.9,31.7,100,,,0,0,0.0,0.0,0
1,1,0,cold,satfold-lanes16,9,397281.7,4303.3,16.2,100,,,0,0,0.0,0.0,0
1,2,0,warm,satfold-gate-true,0,4309.6,4235.4,0.4,100,,,0,0,0.0,0.0,0
1,2,0,warm,satfold-gate-true,1,4319.6,4251.2,2.1,100,,,0,0,0.0,0.0,0
1,2,0,warm,satfold-gate-true,2,4199.2,4139.6,1.7,100,,,0,0,0.0,0.0,0
1,2,0,warm,satfold-gate-true,3,4305.4,4244.6,2.5,100,,,0,0,0.0,0.0,0
1,2,0,warm,satfold-gate-true,4,4301.2,4233.8,0.0,100,,,0,0,0.0,0.0,0
1,2,0,warm,satfold-gate-true,5,4293.3,4226.7,2.1,100,,,0,0,0.0,0.0,0
1,2,0,warm,satfold-gate-true,6,4310.4,4243.3,0.4,100,,,0,0,0.0,0.0,0
1,2,0,warm,satfold-gate-true,7,4197.1,4122.9,0.8,100,,,0,0,0.0,0.0,0
1,2,0,warm,satfold-gate-true,8,4302.9,4222.1,1.2,100,,,0,0,0.0,0.0,0
1,2,0,warm,satfold-gate-true,9,4295.4,4224.2,0.8,100,,,0,0,0.0,0.0,0
1,2,0,warm,satfold-lanes16-3,0,4298.8,4227.9,0.4,100,,,0,0,0.0,0.0,0
1,2,0,warm,satfold-lanes16-3,1,4257.1,4192.5,0.4,100,,,0,0,0.0,0.0,0
1,2,0,warm,satfold-lanes16-3,2,4293.3,4229.6,1.7,100,,,0,0,0.0,0.0,0
1,2,0,warm,satfold-lanes16-3,3,4291.7,4234.2,0.4,100,,,0,0,0.0,0.0,0
1,2,0,warm,satfold-lanes16-3,4,4299.2,4233.8,0.8,100,,,0,0,0.0,0.0,0
1,2,0,warm,satfold-lanes16-3,5,4207.9,4145.4,2.5,100,,,0,0,0.0,0.0,0
1,2,0,warm,satfold-lanes16-3,6,4315.4,4248.8,0.8,100,,,0,0,0.0,0.0,0
1,2,0,warm,satfold-lanes16-3,7,4237.9,4169.6,1.2,100,,,0,0,0.0,0.0,0
1,2,0,warm,satfold-lanes16-3,8,4295.8,4227.1,0.4,100,,,0,0,0.0,0.0,0
1,2,0,warm,satfold-lanes16-3,9,4295.4,4230.0,0.8,100,,,0,0,0.0,0.0,0
1,2,0,warm,satfold-seq,0,29945.8,29849.2,2.1,100,,,0,0,0.0,0.0,0
1,2,0,warm,satfold-seq,1,30030.8,29909.6,4.2,100,,,0,0,0.0,0.0,0
1,2,0,warm,satfold-seq,2,29814.6,29730.8,3.7,100,,,0,0,0.0,0.0,0
1,2,0,warm,satfold-seq,3,29779.2,29705.8,2.5,100,,,0,0,0.0,0.0,0
1,2,0,warm,satfold-seq,4,29615.4,29544.6,1.2,100,,,0,0,0.0,0.0,0
1,2,0,warm,satfold-seq,5,29284.2,29212.9,0.4,100,,,0,0,0.0,0.0,0
1,2,0,warm,satfold-seq,6,29631.2,29539.6,2.9,100,,,0,0,0.0,0.0,0
1,2,0,warm,satfold-seq,7,30123.8,30027.1,6.7,100,,,0,0,0.0,0.0,0
1,2,0,warm,satfold-seq,8,30487.5,30370.0,10.4,100,,,0,0,0.0,0.0,0
1,2,0,warm,satfold-seq,9,29875.8,29779.6,2.9,100,,,0,0,0.0,0.0,0
1,2,0,warm,satfold-gate-false,0,29683.7,29584.2,1.2,100,,,0,0,0.0,0.0,0
1,2,0,warm,satfold-gate-false,1,31002.5,30870.8,11.7,100,,,0,0,0.0,0.0,0
1,2,0,warm,satfold-gate-false,2,29728.3,29635.4,2.1,100,,,0,0,0.0,0.0,0
1,2,0,warm,satfold-gate-false,3,29545.4,29467.9,1.7,100,,,0,0,0.0,0.0,0
1,2,0,warm,satfold-gate-false,4,29563.3,29487.9,1.7,100,,,0,0,0.0,0.0,0
1,2,0,warm,satfold-gate-false,5,29347.9,29268.8,1.2,100,,,0,0,0.0,0.0,0
1,2,0,warm,satfold-gate-false,6,29332.5,29250.4,0.4,100,,,0,0,0.0,0.0,0
1,2,0,warm,satfold-gate-false,7,29062.9,28984.6,1.2,100,,,0,0,0.0,0.0,0
1,2,0,warm,satfold-gate-false,8,29200.0,29120.8,2.5,100,,,0,0,0.0,0.0,0
1,2,0,warm,satfold-gate-false,9,29724.6,29637.5,1.7,100,,,0,0,0.0,0.0,0
1,2,0,warm,satfold-lanes16,0,4290.0,4211.2,2.1,100,,,0,0,0.0,0.0,0
1,2,0,warm,satfold-lanes16,1,4281.2,4222.1,4.2,100,,,0,0,0.0,0.0,0
1,2,0,warm,satfold-lanes16,2,4116.7,4061.2,4.2,100,,,0,0,0.0,0.0,0
1,2,0,warm,satfold-lanes16,3,4232.1,4172.9,2.5,100,,,0,0,0.0,0.0,0
1,2,0,warm,satfold-lanes16,4,4203.8,4144.2,2.9,100,,,0,0,0.0,0.0,0
1,2,0,warm,satfold-lanes16,5,4154.6,4090.8,1.2,100,,,0,0,0.0,0.0,0
1,2,0,warm,satfold-lanes16,6,4212.9,4149.2,2.1,100,,,0,0,0.0,0.0,0
1,2,0,warm,satfold-lanes16,7,4278.8,4216.2,5.0,100,,,0,0,0.0,0.0,0
1,2,0,warm,satfold-lanes16,8,4248.8,4184.2,2.5,100,,,0,0,0.0,0.0,0
1,2,0,warm,satfold-lanes16,9,4245.0,4179.2,2.1,100,,,0,0,0.0,0.0,0
1,2,0,cold,satfold-gate-true,0,951150.8,6610.0,46.7,100,,,0,0,0.0,0.0,0
1,2,0,cold,satfold-gate-true,1,1481935.0,5725.8,78.7,100,,,0,0,0.0,0.0,0
1,2,0,cold,satfold-gate-true,2,1041204.2,6687.9,80.8,100,,,0,0,0.0,0.0,0
1,2,0,cold,satfold-gate-true,3,514412.1,7545.4,37.5,100,,,0,0,0.0,0.0,0
1,2,0,cold,satfold-gate-true,4,450352.5,5194.2,28.3,100,,,0,0,0.0,0.0,0
1,2,0,cold,satfold-gate-true,5,425365.0,4359.2,15.8,100,,,0,0,0.0,0.0,0
1,2,0,cold,satfold-gate-true,6,447487.1,4399.6,9.2,100,,,0,0,0.0,0.0,0
1,2,0,cold,satfold-gate-true,7,443255.0,4593.8,16.2,100,,,0,0,0.0,0.0,0
1,2,0,cold,satfold-gate-true,8,440102.9,4579.6,8.8,100,,,0,0,0.0,0.0,0
1,2,0,cold,satfold-gate-true,9,372100.8,4284.6,9.6,100,,,0,0,0.0,0.0,0
1,2,0,cold,satfold-lanes16-3,0,429467.9,4533.3,14.2,100,,,0,0,0.0,0.0,0
1,2,0,cold,satfold-lanes16-3,1,394170.8,4761.7,9.6,100,,,0,0,0.0,0.0,0
1,2,0,cold,satfold-lanes16-3,2,393214.2,4400.4,10.4,100,,,0,0,0.0,0.0,0
1,2,0,cold,satfold-lanes16-3,3,473449.6,4743.7,26.7,100,,,0,0,0.0,0.0,0
1,2,0,cold,satfold-lanes16-3,4,390116.2,4402.5,15.0,100,,,0,0,0.0,0.0,0
1,2,0,cold,satfold-lanes16-3,5,403947.5,4396.7,10.4,100,,,0,0,0.0,0.0,0
1,2,0,cold,satfold-lanes16-3,6,434653.8,4450.8,23.3,100,,,0,0,0.0,0.0,0
1,2,0,cold,satfold-lanes16-3,7,381683.3,4246.7,2.5,100,,,0,0,0.0,0.0,0
1,2,0,cold,satfold-lanes16-3,8,371139.6,4210.4,7.9,100,,,0,0,0.0,0.0,0
1,2,0,cold,satfold-lanes16-3,9,403044.6,4465.4,19.2,100,,,0,0,0.0,0.0,0
1,2,0,cold,satfold-seq,0,403678.3,28870.4,2.5,100,,,0,0,0.0,0.0,0
1,2,0,cold,satfold-seq,1,406186.2,29507.9,12.9,100,,,0,0,0.0,0.0,0
1,2,0,cold,satfold-seq,2,407045.0,28649.2,12.5,100,,,0,0,0.0,0.0,0
1,2,0,cold,satfold-seq,3,391467.9,28424.2,1.2,100,,,0,0,0.0,0.0,0
1,2,0,cold,satfold-seq,4,384500.4,29377.9,2.5,100,,,0,0,0.0,0.0,0
1,2,0,cold,satfold-seq,5,627461.7,31892.5,31.2,100,,,0,0,0.0,0.0,0
1,2,0,cold,satfold-seq,6,424657.9,29806.7,4.2,100,,,0,0,0.0,0.0,0
1,2,0,cold,satfold-seq,7,422205.8,30189.6,22.5,100,,,0,0,0.0,0.0,0
1,2,0,cold,satfold-seq,8,400650.4,29362.1,3.7,100,,,0,0,0.0,0.0,0
1,2,0,cold,satfold-seq,9,405044.2,29544.6,10.8,100,,,0,0,0.0,0.0,0
1,2,0,cold,satfold-gate-false,0,444707.1,29523.3,12.9,100,,,0,0,0.0,0.0,0
1,2,0,cold,satfold-gate-false,1,403994.6,29292.1,7.9,100,,,0,0,0.0,0.0,0
1,2,0,cold,satfold-gate-false,2,391495.4,29276.7,3.7,100,,,0,0,0.0,0.0,0
1,2,0,cold,satfold-gate-false,3,420775.8,29149.2,9.6,100,,,0,0,0.0,0.0,0
1,2,0,cold,satfold-gate-false,4,483383.3,31191.7,42.1,100,,,0,0,0.0,0.0,0
1,2,0,cold,satfold-gate-false,5,414356.2,28854.2,5.8,100,,,0,0,0.0,0.0,0
1,2,0,cold,satfold-gate-false,6,375918.7,28528.3,5.0,100,,,0,0,0.0,0.0,0
1,2,0,cold,satfold-gate-false,7,362289.6,28227.5,1.2,100,,,0,0,0.0,0.0,0
1,2,0,cold,satfold-gate-false,8,373682.9,28314.6,2.5,100,,,0,0,0.0,0.0,0
1,2,0,cold,satfold-gate-false,9,370339.2,28242.5,1.7,100,,,0,0,0.0,0.0,0
1,2,0,cold,satfold-lanes16,0,367570.8,4189.6,7.1,100,,,0,0,0.0,0.0,0
1,2,0,cold,satfold-lanes16,1,355444.2,4126.2,11.2,100,,,0,0,0.0,0.0,0
1,2,0,cold,satfold-lanes16,2,360592.9,4050.8,4.6,100,,,0,0,0.0,0.0,0
1,2,0,cold,satfold-lanes16,3,353958.8,4049.6,4.2,100,,,0,0,0.0,0.0,0
1,2,0,cold,satfold-lanes16,4,397011.7,4105.0,6.2,100,,,0,0,0.0,0.0,0
1,2,0,cold,satfold-lanes16,5,392146.2,4147.1,10.8,100,,,0,0,0.0,0.0,0
1,2,0,cold,satfold-lanes16,6,375565.8,4100.8,12.5,100,,,0,0,0.0,0.0,0
