run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag,instructions,cycles,setup_ns,first_ns,digest
1,1,0,warm,satfold-nolaw,0,10451.7,10384.2,2.1,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-nolaw,1,10450.0,10391.7,0.8,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-nolaw,2,10456.2,10400.0,1.2,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-nolaw,3,10445.4,10388.8,2.1,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-nolaw,4,10638.3,10577.1,1.2,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-nolaw,5,10727.5,10559.6,3.7,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-nolaw,6,10443.8,10387.9,1.7,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-nolaw,7,10483.3,10423.7,2.5,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-nolaw,8,10449.2,10388.3,2.5,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-nolaw,9,10452.1,10392.9,3.7,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-lanes4-idx,0,7814.2,7742.1,2.1,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-lanes4-idx,1,7805.8,7737.1,2.1,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-lanes4-idx,2,8000.8,7937.9,2.5,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-lanes4-idx,3,7795.8,7733.3,1.7,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-lanes4-idx,4,8021.7,7955.8,4.2,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-lanes4-idx,5,8272.5,8202.1,3.7,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-lanes4-idx,6,7972.1,7911.2,2.9,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-lanes4-idx,7,7832.1,7766.2,2.9,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-lanes4-idx,8,7825.0,7759.2,2.1,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-lanes4-idx,9,7900.0,7835.8,3.3,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-lanes16-constl,0,10295.8,10237.1,2.5,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-lanes16-constl,1,10273.3,10217.1,0.8,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-lanes16-constl,2,10273.3,10217.9,1.7,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-lanes16-constl,3,10277.9,10215.8,0.8,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-lanes16-constl,4,10269.2,10217.5,3.7,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-lanes16-constl,5,10318.3,10265.0,1.2,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-lanes16-constl,6,10267.9,10215.4,2.5,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-lanes16-constl,7,10639.6,10559.6,2.5,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-lanes16-constl,8,11525.4,11288.3,6.7,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-lanes16-constl,9,10568.3,10499.6,2.1,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-neon8,0,1678.7,1506.2,2.5,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-neon8,1,1565.4,1504.6,1.7,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-neon8,2,1575.4,1515.8,3.7,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-neon8,3,1596.2,1529.6,2.5,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-neon8,4,1569.6,1511.2,3.7,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-neon8,5,1565.0,1505.8,1.2,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-neon8,6,1562.5,1502.9,2.9,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-neon8,7,1565.0,1503.3,2.1,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-neon8,8,1568.7,1506.2,0.4,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-neon8,9,1567.9,1506.2,1.7,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-lanes16,0,10459.2,10393.3,2.1,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-lanes16,1,10572.9,10510.8,3.3,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-lanes16,2,10355.8,10293.3,5.0,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-lanes16,3,10312.1,10247.1,3.3,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-lanes16,4,10457.1,10394.6,2.1,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-lanes16,5,10502.5,10440.8,2.1,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-lanes16,6,10647.9,10552.5,11.2,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-lanes16,7,10482.1,10405.4,1.2,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-lanes16,8,10413.8,10341.2,3.3,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-lanes16,9,10331.2,10245.0,1.2,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-neon,0,1621.2,1553.7,2.9,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-neon,1,1635.8,1571.7,2.9,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-neon,2,1596.7,1537.1,1.2,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-neon,3,1611.7,1551.2,1.7,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-neon,4,1611.2,1550.4,2.1,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-neon,5,1611.7,1551.7,2.5,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-neon,6,1590.0,1528.3,3.3,100,,,0,0,0.0,0.0,0
1,1,0,warm,satfold-neon,7,1592.5,1529.6,2.1,100,,,0,0,0.0,0.0,0
