run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag,instructions,cycles,setup_ns,first_ns,digest
1,1,0,warm,fiedler-bisect-dense,0,105731.7,105577.9,2.9,100,,,0,0,0.0,0.0,0
1,1,0,warm,fiedler-bisect-dense,1,95977.5,95842.1,5.0,100,,,0,0,0.0,0.0,0
1,1,0,warm,fiedler-bisect-dense,2,115323.7,115154.2,9.6,100,,,0,0,0.0,0.0,0
1,1,0,warm,fiedler-bisect-dense,3,118789.6,118631.2,11.7,100,,,0,0,0.0,0.0,0
1,1,0,warm,fiedler-bisect-dense,4,109467.1,109336.2,4.2,100,,,0,0,0.0,0.0,0
1,1,0,warm,fiedler-bisect-dense,5,99314.2,99179.2,5.8,100,,,0,0,0.0,0.0,0
1,1,0,warm,fiedler-bisect-dense,6,166841.2,166555.0,11.7,100,,,0,0,0.0,0.0,0
1,1,0,warm,fiedler-bisect-dense,7,159453.3,159227.5,8.3,100,,,0,0,0.0,0.0,0
1,1,0,warm,fiedler-bisect-dense,8,114336.2,114166.7,5.8,100,,,0,0,0.0,0.0,0
1,1,0,warm,fiedler-bisect-dense,9,106975.0,106793.8,7.9,100,,,0,0,0.0,0.0,0
1,1,0,cold,fiedler-bisect-dense,0,97621.7,96078.7,3.3,100,,,0,0,0.0,0.0,0
1,1,0,cold,fiedler-bisect-dense,1,99937.5,98435.8,3.7,100,,,0,0,0.0,0.0,0
1,1,0,cold,fiedler-bisect-dense,2,109943.3,108503.8,4.6,100,,,0,0,0.0,0.0,0
1,1,0,cold,fiedler-bisect-dense,3,98890.8,97353.3,6.7,100,,,0,0,0.0,0.0,0
1,1,0,cold,fiedler-bisect-dense,4,127753.8,126203.3,5.4,100,,,0,0,0.0,0.0,0
1,1,0,cold,fiedler-bisect-dense,5,97164.6,95710.4,3.7,100,,,0,0,0.0,0.0,0
1,1,0,cold,fiedler-bisect-dense,6,119847.5,116425.8,7.1,100,,,0,0,0.0,0.0,0
1,1,0,cold,fiedler-bisect-dense,7,97917.1,96445.4,4.6,100,,,0,0,0.0,0.0,0
1,1,0,cold,fiedler-bisect-dense,8,100567.9,99007.5,8.8,100,,,0,0,0.0,0.0,0
1,1,0,cold,fiedler-bisect-dense,9,112612.5,110985.0,5.0,100,,,0,0,0.0,0.0,0
1,2,0,warm,fiedler-bisect-dense,0,97259.2,97119.2,5.0,100,,,0,0,0.0,0.0,0
1,2,0,warm,fiedler-bisect-dense,1,95668.8,95546.2,4.6,100,,,0,0,0.0,0.0,0
1,2,0,warm,fiedler-bisect-dense,2,95684.6,95579.6,1.2,100,,,0,0,0.0,0.0,0
1,2,0,warm,fiedler-bisect-dense,3,96814.2,96647.5,5.8,100,,,0,0,0.0,0.0,0
1,2,0,warm,fiedler-bisect-dense,4,98147.5,98023.3,2.9,100,,,0,0,0.0,0.0,0
1,2,0,warm,fiedler-bisect-dense,5,97294.6,97180.8,3.3,100,,,0,0,0.0,0.0,0
1,2,0,warm,fiedler-bisect-dense,6,135767.1,135445.4,22.1,100,,,0,0,0.0,0.0,0
1,2,0,warm,fiedler-bisect-dense,7,121675.4,121472.9,5.8,100,,,0,0,0.0,0.0,0
1,2,0,warm,fiedler-bisect-dense,8,97485.4,97347.1,6.7,100,,,0,0,0.0,0.0,0
1,2,0,warm,fiedler-bisect-dense,9,97475.8,97325.0,7.1,100,,,0,0,0.0,0.0,0
1,2,0,cold,fiedler-bisect-dense,0,98750.0,97149.2,4.2,100,,,0,0,0.0,0.0,0
1,2,0,cold,fiedler-bisect-dense,1,103378.8,101635.0,12.9,100,,,0,0,0.0,0.0,0
