run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag,instructions,cycles,setup_ns,first_ns,digest
1,1,0,warm,rcm-bits64,0,24398.8,24284.6,3.7,100,,,0,0,0.0,0.0,0
1,1,0,warm,rcm-bits64,1,27387.9,27225.4,7.5,100,,,0,0,0.0,0.0,0
1,1,0,warm,rcm-bits64,2,23727.9,23616.7,5.8,100,,,0,0,0.0,0.0,0
1,1,0,warm,rcm-bits64,3,24127.9,24024.2,2.1,100,,,0,0,0.0,0.0,0
1,1,0,warm,rcm-bits64,4,23270.8,23167.9,2.9,100,,,0,0,0.0,0.0,0
1,1,0,warm,rcm-bits64,5,23898.3,23757.9,4.2,100,,,0,0,0.0,0.0,0
1,1,0,warm,rcm-bits64,6,26545.8,26306.2,3.7,100,,,0,0,0.0,0.0,0
1,1,0,warm,rcm-bits64,7,30282.9,30087.5,7.1,100,,,0,0,0.0,0.0,0
1,1,0,warm,rcm-bits64,8,29359.6,29175.4,7.5,100,,,0,0,0.0,0.0,0
1,1,0,warm,rcm-bits64,9,22882.9,22675.8,6.2,100,,,0,0,0.0,0.0,0
1,1,0,cold,rcm-bits64,0,80024.2,56795.0,16.7,100,,,0,0,0.0,0.0,0
1,1,0,cold,rcm-bits64,1,70247.1,47877.5,8.3,100,,,0,0,0.0,0.0,0
1,1,0,cold,rcm-bits64,2,51990.8,34430.8,4.2,100,,,0,0,0.0,0.0,0
1,1,0,cold,rcm-bits64,3,55074.2,37247.9,4.6,100,,,0,0,0.0,0.0,0
1,1,0,cold,rcm-bits64,4,54339.6,36424.6,4.6,100,,,0,0,0.0,0.0,0
1,1,0,cold,rcm-bits64,5,96189.2,68885.8,10.4,100,,,0,0,0.0,0.0,0
1,1,0,cold,rcm-bits64,6,55904.6,36592.5,9.6,100,,,0,0,0.0,0.0,0
1,1,0,cold,rcm-bits64,7,57526.7,38564.6,7.5,100,,,0,0,0.0,0.0,0
1,1,0,cold,rcm-bits64,8,52445.0,34972.9,4.6,100,,,0,0,0.0,0.0,0
1,1,0,cold,rcm-bits64,9,67884.6,47772.5,11.2,100,,,0,0,0.0,0.0,0
1,2,0,warm,rcm-bits64,0,40289.6,40123.8,4.6,100,,,0,0,0.0,0.0,0
1,2,0,warm,rcm-bits64,1,36155.8,35952.5,10.4,100,,,0,0,0.0,0.0,0
1,2,0,warm,rcm-bits64,2,28416.7,28305.4,4.2,100,,,0,0,0.0,0.0,0
1,2,0,warm,rcm-bits64,3,28343.8,28248.3,7.5,100,,,0,0,0.0,0.0,0
1,2,0,warm,rcm-bits64,4,28166.2,28070.8,2.5,100,,,0,0,0.0,0.0,0
1,2,0,warm,rcm-bits64,5,28067.5,27957.9,2.9,100,,,0,0,0.0,0.0,0
1,2,0,warm,rcm-bits64,6,27660.4,27552.9,5.4,100,,,0,0,0.0,0.0,0
1,2,0,warm,rcm-bits64,7,29193.3,29077.1,4.6,100,,,0,0,0.0,0.0,0
