run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag,instructions,cycles,setup_ns,first_ns,digest
1,1,0,warm,warm-container-plusone,0,5701.2,5642.9,3.3,100,,,0,0,0.0,0.0,0
1,1,0,warm,warm-container-plusone,1,5696.7,5644.2,3.7,100,,,0,0,0.0,0.0,0
1,1,0,warm,warm-container-plusone,2,5767.9,5712.9,1.7,100,,,0,0,0.0,0.0,0
1,1,0,warm,warm-container-plusone,3,5743.3,5682.1,0.8,100,,,0,0,0.0,0.0,0
1,1,0,warm,warm-container-plusone,4,5705.4,5647.1,2.9,100,,,0,0,0.0,0.0,0
1,1,0,warm,warm-container-plusone,5,5707.5,5644.6,3.3,100,,,0,0,0.0,0.0,0
1,1,0,warm,warm-container-plusone,6,5707.9,5649.6,4.2,100,,,0,0,0.0,0.0,0
1,1,0,warm,warm-container-plusone,7,5707.5,5647.1,1.7,100,,,0,0,0.0,0.0,0
1,1,0,warm,warm-container-plusone,8,5700.8,5647.5,2.1,100,,,0,0,0.0,0.0,0
1,1,0,warm,warm-container-plusone,9,5706.2,5644.2,2.5,100,,,0,0,0.0,0.0,0
1,1,0,warm,warm-container-lanes-deferred,0,867.1,801.2,1.2,100,,,0,0,0.0,0.0,0
1,1,0,warm,warm-container-lanes-deferred,1,860.4,796.2,2.9,100,,,0,0,0.0,0.0,0
1,1,0,warm,warm-container-lanes-deferred,2,860.4,801.7,2.1,100,,,0,0,0.0,0.0,0
1,1,0,warm,warm-container-lanes-deferred,3,856.7,797.5,3.3,100,,,0,0,0.0,0.0,0
1,1,0,warm,warm-container-lanes-deferred,4,859.2,799.2,5.0,100,,,0,0,0.0,0.0,0
1,1,0,warm,warm-container-lanes-deferred,5,860.8,800.4,3.3,100,,,0,0,0.0,0.0,0
1,1,0,warm,warm-container-lanes-deferred,6,890.4,826.2,3.3,100,,,0,0,0.0,0.0,0
1,1,0,warm,warm-container-lanes-deferred,7,915.0,846.7,0.4,100,,,0,0,0.0,0.0,0
1,1,0,warm,warm-container-lanes-deferred,8,897.1,828.8,2.5,100,,,0,0,0.0,0.0,0
1,1,0,warm,warm-container-lanes-deferred,9,872.9,810.4,3.3,100,,,0,0,0.0,0.0,0
1,1,0,warm,warm-container-kernel,0,861.2,799.2,1.7,100,,,0,0,0.0,0.0,0
1,1,0,warm,warm-container-kernel,1,862.5,800.4,2.1,100,,,0,0,0.0,0.0,0
1,1,0,warm,warm-container-kernel,2,858.7,799.6,1.7,100,,,0,0,0.0,0.0,0
1,1,0,warm,warm-container-kernel,3,856.7,797.5,4.2,100,,,0,0,0.0,0.0,0
1,1,0,warm,warm-container-kernel,4,859.6,797.9,2.9,100,,,0,0,0.0,0.0,0
1,1,0,warm,warm-container-kernel,5,858.3,798.3,5.0,100,,,0,0,0.0,0.0,0
1,1,0,warm,warm-container-kernel,6,865.0,805.8,2.5,100,,,0,0,0.0,0.0,0
1,1,0,warm,warm-container-kernel,7,862.5,802.1,2.5,100,,,0,0,0.0,0.0,0
1,1,0,warm,warm-container-kernel,8,861.2,802.1,2.5,100,,,0,0,0.0,0.0,0
1,1,0,warm,warm-container-kernel,9,860.8,801.2,2.5,100,,,0,0,0.0,0.0,0
1,1,0,warm,warm-container-native,0,862.9,799.2,2.1,100,,,0,0,0.0,0.0,0
1,1,0,warm,warm-container-native,1,861.7,802.1,0.8,100,,,0,0,0.0,0.0,0
1,1,0,warm,warm-container-native,2,859.6,797.9,2.5,100,,,0,0,0.0,0.0,0
1,1,0,warm,warm-container-native,3,859.6,802.5,2.5,100,,,0,0,0.0,0.0,0
1,1,0,warm,warm-container-native,4,864.2,801.7,0.8,100,,,0,0,0.0,0.0,0
1,1,0,warm,warm-container-native,5,859.2,799.2,3.3,100,,,0,0,0.0,0.0,0
1,1,0,warm,warm-container-native,6,862.1,803.7,2.9,100,,,0,0,0.0,0.0,0
1,1,0,warm,warm-container-native,7,945.4,876.2,3.3,100,,,0,0,0.0,0.0,0
1,1,0,warm,warm-container-native,8,981.2,908.3,1.7,100,,,0,0,0.0,0.0,0
1,1,0,warm,warm-container-native,9,975.4,907.9,2.5,100,,,0,0,0.0,0.0,0
1,1,0,warm,warm-container-headroom,0,6039.2,5957.5,2.5,100,,,0,0,0.0,0.0,0
1,1,0,warm,warm-container-headroom,1,5707.9,5644.2,1.7,100,,,0,0,0.0,0.0,0
1,1,0,warm,warm-container-headroom,2,5705.4,5647.5,1.2,100,,,0,0,0.0,0.0,0
1,1,0,warm,warm-container-headroom,3,6032.9,5970.0,2.1,100,,,0,0,0.0,0.0,0
1,1,0,warm,warm-container-headroom,4,5699.2,5645.4,1.7,100,,,0,0,0.0,0.0,0
1,1,0,warm,warm-container-headroom,5,5700.0,5643.7,2.1,100,,,0,0,0.0,0.0,0
1,1,0,warm,warm-container-headroom,6,5796.2,5738.7,2.5,100,,,0,0,0.0,0.0,0
1,1,0,warm,warm-container-headroom,7,5702.5,5646.2,2.9,100,,,0,0,0.0,0.0,0
1,1,0,warm,warm-container-headroom,8,5706.2,5642.5,2.5,100,,,0,0,0.0,0.0,0
1,1,0,warm,warm-container-headroom,9,5702.1,5645.0,2.1,100,,,0,0,0.0,0.0,0
1,1,0,warm,warm-container-minimum,0,1048.3,969.6,3.3,100,,,0,0,0.0,0.0,0
1,1,0,warm,warm-container-minimum,1,1048.8,973.3,2.1,100,,,0,0,0.0,0.0,0
1,1,0,warm,warm-container-minimum,2,1045.0,967.5,2.9,100,,,0,0,0.0,0.0,0
