run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag,instructions,cycles,setup_ns,first_ns,digest
1,1,0,warm,wide-rung-wordround-alias,0,8556.7,8490.0,2.5,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-wordround-alias,1,8589.2,8524.2,2.1,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-wordround-alias,2,8561.7,8495.8,2.9,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-wordround-alias,3,8557.5,8493.3,3.3,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-wordround-alias,4,8575.0,8510.8,2.9,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-wordround-alias,5,8561.2,8497.9,0.8,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-wordround-alias,6,8552.5,8490.8,1.7,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-wordround-alias,7,8572.1,8510.0,2.9,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-wordround-alias,8,8571.2,8495.0,2.5,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-wordround-alias,9,8559.6,8488.3,2.9,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-align16,0,8567.5,8502.9,2.9,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-align16,1,8569.2,8498.8,0.8,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-align16,2,8563.8,8496.2,2.5,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-align16,3,8561.2,8492.1,2.5,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-align16,4,8569.6,8499.2,1.7,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-align16,5,8635.8,8564.6,0.4,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-align16,6,8595.0,8531.2,1.7,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-align16,7,8570.8,8507.5,0.8,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-align16,8,8580.0,8514.6,1.7,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-align16,9,8557.1,8495.8,4.2,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-wordround,0,8570.0,8501.2,1.2,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-wordround,1,8545.0,8479.2,2.1,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-wordround,2,8541.2,8474.2,4.6,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-wordround,3,8541.7,8477.1,0.8,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-wordround,4,8543.8,8473.8,2.5,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-wordround,5,8575.8,8508.8,2.5,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-wordround,6,8669.2,8600.8,2.5,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-wordround,7,8865.0,8793.3,2.5,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-wordround,8,8862.1,8790.8,2.5,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-wordround,9,8842.1,8777.9,2.1,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-ragged-overread,0,8571.7,8505.4,2.9,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-ragged-overread,1,8737.9,8665.0,1.2,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-ragged-overread,2,8564.6,8502.5,2.1,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-ragged-overread,3,8571.2,8508.8,2.1,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-ragged-overread,4,8575.8,8507.5,2.5,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-ragged-overread,5,8595.0,8532.9,2.1,100,,,0,0,0.0,0.0,0
