run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag,instructions,cycles,setup_ns,first_ns,digest
1,1,0,warm,wide-rung-wordround-alias,0,16884.6,16608.3,12.1,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-wordround-alias,1,14388.3,14192.5,5.8,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-wordround-alias,2,14328.3,14122.5,9.6,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-wordround-alias,3,3972.5,3890.8,1.7,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-wordround-alias,4,3950.4,3890.8,0.8,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-wordround-alias,5,3948.7,3890.4,2.1,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-wordround-alias,6,3943.3,3885.0,2.9,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-wordround-alias,7,3994.6,3935.0,1.2,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-wordround-alias,8,3949.2,3885.8,0.8,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-wordround-alias,9,3970.8,3907.1,1.7,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-align16,0,3976.2,3905.8,1.2,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-align16,1,3982.9,3917.5,1.7,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-align16,2,3994.6,3930.4,2.9,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-align16,3,3967.5,3905.0,2.1,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-align16,4,3990.0,3920.8,2.9,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-align16,5,4007.1,3950.4,2.1,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-align16,6,3996.2,3933.3,3.3,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-align16,7,3997.1,3926.2,1.7,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-align16,8,4000.4,3937.1,2.9,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-align16,9,3980.0,3910.0,1.7,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-wordround,0,17318.7,17090.4,12.1,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-wordround,1,15056.7,14852.9,5.4,100,,,0,0,0.0,0.0,0
