kind,bits,count,best_ms,mean_ms
vu_gcd,8,0,62,69
vu_reduce,8,0,73,89
tn_gcd,8,0,61,69
vu_gcd,8,25,109,114
vu_reduce,8,25,144,156
tn_gcd,8,25,152,165
vu_gcd,8,50,126,133
vu_reduce,8,50,209,228
tn_gcd,8,50,247,264
vu_gcd,8,100,173,179
vu_reduce,8,100,343,368
tn_gcd,8,100,445,548
vu_gcd,8,200,266,293
vu_reduce,8,200,523,609
tn_gcd,8,200,629,683
vu_gcd,8,400,379,405
vu_reduce,8,400,950,1009
tn_gcd,8,400,1138,1192
vu_gcd,16,0,64,67
vu_reduce,16,0,71,81
tn_gcd,16,0,61,72
vu_gcd,16,25,227,257
vu_reduce,16,25,372,408
tn_gcd,16,25,450,492
vu_gcd,16,50,358,373
vu_reduce,16,50,652,704
tn_gcd,16,50,806,867
vu_gcd,16,100,573,630
vu_reduce,16,100,1191,1266
tn_gcd,16,100,1528,1601
vu_gcd,16,200,1063,1126
vu_reduce,16,200,2350,2436
tn_gcd,16,200,3041,3146
vu_gcd,16,400,2095,2280
vu_reduce,16,400,4899,5158
tn_gcd,16,400,6283,6478
vu_gcd_maxmin,8,0,76,76
vu_gcd_maxmin,8,400,579,579
vu_gcd_maxmin,16,0,79,79
vu_gcd_maxmin,16,400,3378,3378
vu_reduce_dyadic,16,0,63,63
vu_reduce_dyadic,16,100,140,140
vu_reduce_dyadic,16,400,264,264
