02_probes	bool	true
02_probes	sym	Asym
02_probes	codes	16
02_probes	lo	0
02_probes	hi	15
02_probes	codes	16
02_probes	lo	-7
02_probes	hi	7
02_probes	codes	16
02_probes	lo	-8
02_probes	hi	7
02_probes	codes	2
02_probes	lo	0
02_probes	hi	0
02_probes	codes	9
02_probes	lo	-4
02_probes	hi	4
02_probes	codes	9
02_probes	lo	-4
02_probes	hi	4
02_probes	tried	19
02_probes	surviving	0
02_probes	tried	19
02_probes	surviving	0
02_probes	tried	19
02_probes	surviving	0
02_probes	p	1
02_probes	p	0
02_probes	p	3
02_probes	spare	0
02_probes	p	3
02_probes	spare	1
02_probes	p	3
02_probes	spare	0
02_probes	p	3
02_probes	spare	0
02_probes	p	3
02_probes	spare	0
02_probes	p	3
02_probes	spare	0
02_probes	p	3
02_probes	values	1000
02_probes	codes	1000
02_probes	spare	0
02_probes	p	3
02_probes	codes	1000
02_probes	spare	1
02_probes	p	3
02_probes	values	1000
02_probes	codes	1000
02_probes	spare	0
02_probes	pairs	105
02_probes	absent	0
02_probes	unique	0
02_probes	absent	0
02_probes	unique	0
02_probes	tried	19
02_probes	surviving	0
02_probes	tried	19
02_probes	surviving	0
02_probes	tried	19
02_probes	surviving	0
02_probes	p	3
02_probes	spare	0
02_probes	p	3
02_probes	spare	1
02_probes	p	3
02_probes	spare	0
02_probes	p	3
02_probes	spare	0
02_probes	p	3
02_probes	spare	1
02_probes	p	3
02_probes	spare	0
02_probes	p	3
02_probes	values	1000
02_probes	codes	1000
02_probes	spare	0
02_probes	p	3
02_probes	values	1999
02_probes	codes	2000
02_probes	spare	1
02_probes	p	3
02_probes	values	2000
02_probes	codes	2000
02_probes	spare	0
02_probes	pairs	105
02_probes	absent	0
02_probes	unique	0
02_probes	absent	0
02_probes	unique	0
02_probes	p	1
02_probes	e	-3
02_probes	symmetric	=
02_probes	p	1
02_probes	e	-2
02_probes	symmetric	=
02_probes	p	1:
02_probes	p	2:
02_probes	p	3:
02_probes	p	4:
02_probes	p	1:
02_probes	sym	Asy
02_probes	p	2:
02_probes	sym	Asy
02_probes	p	3:
02_probes	sym	Asy
02_probes	p	4:
02_probes	sym	Asy
02_probes	p	1:
02_probes	p	2:
02_probes	p	3:
