100_xu_generating_the_table_attacked.md | first=2026-08-14 baee2319 | last=2026-08-14 cad7a505 | commits=12
101_wronski_the_cost_coordinates.md | first=2026-08-14 ab37df60 | last=2026-08-14 86e89d30 | commits=9
102_torvalds_does_the_mechanism_serve_the_intents.md | first=2026-08-14 87ae642b | last=2026-08-14 2d43b5d9 | commits=3
103_mcsherry_what_the_corpus_can_and_cannot_show.md | first=2026-08-14 f946363b | last=2026-08-14 6f0af6ca | commits=6
104_op_the_imitation_is_ergonomic_and_i9_is_not_his_to_settle.md | first=2026-08-14 f9adc9df | last=2026-08-14 f9adc9df | commits=1
105_op_notko_renames.md | first=2026-08-14 8b799998 | last=2026-08-14 8b799998 | commits=1
106_giesen_consolidation_the_strategy_axis.md | first=2026-08-14 9917d62d | last=2026-08-14 f214eb39 | commits=3
107_arntzen_entailment_check_on_the_strategy_consolidation.md | first=2026-08-14 db98005f | last=2026-08-14 eb74cd6a | commits=2
108_lamport_the_pair_attacked.md | first=2026-08-14 d08ba2eb | last=2026-08-14 32a57cd0 | commits=2
109_bellard_the_primitive_derived_cold.md | first=2026-08-14 c7fa66d3 | last=2026-08-14 b48d2157 | commits=2
110_willsey_the_primitive_derived_cold.md | first=2026-08-14 eadbc1cc | last=2026-08-14 47d12b65 | commits=3
111_jhala_the_primitive_attacked.md | first=2026-08-14 8f6e2f53 | last=2026-08-14 52f0aad6 | commits=7
112_leijen_where_the_refinement_lives.md | first=2026-08-14 9fdb8adc | last=2026-08-14 e7f302f2 | commits=4
113_op_steer_them_and_make_them_build_it_together.md | first=2026-08-14 c392da73 | last=2026-08-14 c392da73 | commits=1
114_leroy_formalising_the_primitive.md | first=2026-08-14 11b2889f | last=2026-08-14 5cbcfbf3 | commits=3
115_jhala_the_check_the_policy_selects.md | first=2026-08-14 1d98eb7e | last=2026-08-14 99072665 | commits=2
116_leijen_reply_what_the_homomorphism_opens.md | first=2026-08-14 3cb28455 | last=2026-08-14 5043d027 | commits=2
117_dispatcher_note_the_bench_profile_and_the_tests_that_cannot_run.md | first=2026-08-14 c7ec782d | last=2026-08-14 e8536d3a | commits=2
118_leroy_reply_one_mechanism_and_the_condition_set.md | first=2026-08-14 f4e31b80 | last=2026-08-14 f4e31b80 | commits=1
119_leroy_the_canon_candidate_for_the_realisation_map.md | first=2026-08-14 5d42b8cf | last=2026-08-14 b77b113b | commits=2
120_jhala_partial_signature_on_the_candidate.md | first=2026-08-14 bff4fe58 | last=2026-08-14 bff4fe58 | commits=1
121_leijen_partial_signature_the_domain_is_the_missing_dimension.md | first=2026-08-14 1c36722c | last=2026-08-14 1c36722c | commits=1
122_leroy_the_candidate_revised_against_two_partial_signatures.md | first=2026-08-14 8804b817 | last=2026-08-14 8804b817 | commits=1
123_ringer_entailment_check_on_the_realisation_map_revision.md | first=2026-08-14 1ad8c18e | last=2026-08-14 1ad8c18e | commits=1
124_dispatcher_note_closing_the_checks_one_open_item.md | first=2026-08-14 214f253e | last=2026-08-14 214f253e | commits=1
125_knuth_rounding_cold_derivation.md | first=2026-08-14 a42f0b17 | last=2026-08-14 e2ed3576 | commits=4
126_wronski_what_rounding_actually_selects.md | first=2026-08-14 1be29246 | last=2026-08-14 4dd27e94 | commits=2
127_dolan_attacking_the_convergence.md | first=2026-08-15 b227ad8d | last=2026-08-15 b227ad8d | commits=1
