run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag,instructions,cycles,setup_ns,first_ns,digest
1,1,0,warm,wide-rung-wordround-alias,0,490445.4,489789.6,2.5,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-wordround-alias,1,520838.7,519850.4,37.5,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-wordround-alias,2,503510.4,502632.1,2.9,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-wordround-alias,3,500095.8,499319.6,7.9,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-wordround-alias,4,523597.1,522654.6,22.1,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-wordround-alias,5,498747.5,497845.4,2.1,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-wordround-alias,6,496264.2,495297.5,2.1,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-wordround-alias,7,494179.6,493540.4,3.3,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-wordround-alias,8,501436.2,500413.8,6.2,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-wordround-alias,9,493782.9,492995.8,3.3,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-align16,0,491211.7,490561.7,3.3,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-align16,1,491058.7,490099.2,7.9,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-align16,2,502325.4,501426.2,15.8,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-align16,3,499946.2,499104.2,14.6,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-align16,4,498822.1,497925.8,2.5,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-align16,5,494412.5,493697.9,8.8,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-align16,6,502935.8,501985.0,2.9,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-align16,7,500229.2,499175.4,2.5,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-align16,8,495373.3,494763.7,2.9,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-align16,9,497334.6,496747.5,5.4,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-wordround,0,498025.0,497009.2,2.9,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-wordround,1,489917.1,489178.3,3.3,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-wordround,2,488755.0,488026.2,2.9,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-wordround,3,496718.3,496146.2,7.1,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-wordround,4,491371.2,490776.2,3.7,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-wordround,5,490935.8,490144.2,5.8,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-wordround,6,512713.7,512141.7,7.5,100,,,0,0,0.0,0.0,0
1,1,0,warm,wide-rung-wordround,7,496541.2,495884.6,6.7,100,,,0,0,0.0,0.0,0
