q3. `resolve the intermediate` names two operations

== the table, W = 6, both policies, both readings ==
mode                   sign     policy    F   reading1   reading2   same?
floor              unsigned       wrap    0      0.00%      0.00%   yes
floor              unsigned       wrap    1      0.00%      0.00%   yes
floor              unsigned       wrap    2      0.00%      0.00%   yes
floor              unsigned       wrap    3      0.00%      0.00%   yes
floor              unsigned       wrap    4      0.00%      0.00%   yes
floor              unsigned       wrap    5      0.00%      0.00%   yes
ceil               unsigned       wrap    0      0.00%      0.00%   yes
ceil               unsigned       wrap    1      0.00%      0.00%   yes
ceil               unsigned       wrap    2      0.00%      0.00%   yes
ceil               unsigned       wrap    3      0.00%      0.00%   yes
ceil               unsigned       wrap    4      0.00%      0.00%   yes
ceil               unsigned       wrap    5      0.00%      0.00%   yes
toward_zero        unsigned       wrap    0      0.00%      0.00%   yes
toward_zero        unsigned       wrap    1      0.00%      0.00%   yes
toward_zero        unsigned       wrap    2      0.00%      0.00%   yes
toward_zero        unsigned       wrap    3      0.00%      0.00%   yes
toward_zero        unsigned       wrap    4      0.00%      0.00%   yes
toward_zero        unsigned       wrap    5      0.00%      0.00%   yes
away_from_zero     unsigned       wrap    0      0.00%      0.00%   yes
away_from_zero     unsigned       wrap    1      0.00%      0.00%   yes
away_from_zero     unsigned       wrap    2      0.00%      0.00%   yes
away_from_zero     unsigned       wrap    3      0.00%      0.00%   yes
away_from_zero     unsigned       wrap    4      0.00%      0.00%   yes
away_from_zero     unsigned       wrap    5      0.00%      0.00%   yes
half_up(+inf)      unsigned       wrap    0      0.00%      0.00%   yes
half_up(+inf)      unsigned       wrap    1      0.00%      0.00%   yes
half_up(+inf)      unsigned       wrap    2      0.00%      0.00%   yes
half_up(+inf)      unsigned       wrap    3      0.00%      0.00%   yes
half_up(+inf)      unsigned       wrap    4      0.00%      0.00%   yes
half_up(+inf)      unsigned       wrap    5      0.00%      0.00%   yes
half_up(away)      unsigned       wrap    0      0.00%      0.00%   yes
half_up(away)      unsigned       wrap    1      0.00%      0.00%   yes
half_up(away)      unsigned       wrap    2      0.00%      0.00%   yes
half_up(away)      unsigned       wrap    3      0.00%      0.00%   yes
half_up(away)      unsigned       wrap    4      0.00%      0.00%   yes
half_up(away)      unsigned       wrap    5      0.00%      0.00%   yes
half_even          unsigned       wrap    0      0.00%      0.00%   yes
half_even          unsigned       wrap    1     12.50%     12.50%   yes
half_even          unsigned       wrap    2     12.50%     12.50%   yes
half_even          unsigned       wrap    3      9.38%      9.38%   yes
half_even          unsigned       wrap    4      6.25%      6.25%   yes
half_even          unsigned       wrap    5      3.91%      3.91%   yes
